n_instances,n_features,n_num_features,n_cat_features,missing_ratio,target_num_classes,feature_mean_skew,feature_mean_kurtosis,mean_feature_variance,mean_feature_correlation,mean_mutual_info,max_mutual_info,target_entropy,dataset
3190,60,60,0,0.0,3,0.0771000137911325,-1.3189370684601156,1.3006142621268972,0.0296074983876752,0.0379466931548845,0.2649579982258601,1.4801700652855487,46
768,8,8,0,0.0,2,0.5292461326267602,2.775362450879719,1893.059471642304,0.1716567897600401,0.0507045844669102,0.1216243940700312,0.933134313755393,37
5100,36,36,0,0.0,2,-0.1096173151401046,-0.4632046647796337,205.63460042679992,0.6376841666882184,0.0221420705781835,0.0499003947888138,0.1105808418844971,40900
5404,5,5,0,0.0,2,0.7794652584510371,0.3397489933088484,1.0000000094922863,0.1260888571079875,0.1229659747840492,0.1797311246515176,0.8731822548387504,1489
6430,36,36,0,0.0,6,0.0404602333827728,-0.1541168869377244,1.0000440178425023,0.4957905898073134,0.631856247421,0.8108732731104129,2.48336186738949,182
5000,20,20,0,0.0,2,0.3558740464044595,0.4127632928419145,104752.52167379364,0.0357465055716161,0.0107439240170573,0.0573023508575574,0.5878935722593087,40701
5124,20,20,0,0.0,2,0.1082468876415196,0.9315382097063806,539434.9683735587,0.0512197105168446,0.0349486256324162,0.4647187932124623,0.99999999711461,41146
45211,16,16,0,0.0,2,4.324270105015647,297.4411454663649,584197.8177854295,0.0645395464834073,0.0173970279019694,0.0718251202326549,0.5206312183684263,1461
96320,21,21,0,0.0,2,-0.002565864492566,-1.2005501274616257,0.0843396315607297,0.2653251713836461,0.0003471019626114,0.0016476868159196,0.9999228645072769,23517
1484,8,8,0,0.0,10,2.9128273396734268,28.660878403288507,0.0104077742312795,0.0892731365603379,0.1321465673051288,0.3173929048370305,2.490417621805777,181
7842,16,7,9,0.0,2,6.141923797340529,244.03281861457663,1369020.7121169376,0.0466771329044024,0.0396297919394459,0.0796577016980668,0.7740648959010163,mushroom
1000,20,20,0,0.0,2,0.7276864379762193,1.703694765126237,398406.9390732733,0.0802543296140035,0.0137275620117011,0.0661470638802423,0.8812908963453026,31
1941,27,27,0,0.0,7,3.7412473806558495,109.586036710527,242991510502.3571,0.2453686360907984,0.3409991764704281,0.5910997730263672,2.410690432173576,40982
2000,64,64,0,0.0,10,-0.0042856625700171,-0.0456548457486465,6.491588677240859,0.1072004660482531,0.1822959529969592,0.7066694553457937,3.3219280804604123,16
10885,21,21,0,0.0001093685062449,2,15.836470785866346,586.6194736018286,9012456503.835972,0.5887061411221742,0.0338125957834773,0.0532957872685422,0.7086892086451642,1053
48842,14,6,8,0.0094546847853428,2,1.6904148454149024,8.045360299828666,1858701699.2557304,0.0715342713849856,0.0454808828641289,0.0648770897386155,0.7938438364790357,179
2000,76,76,0,0.0,10,0.5447006833269704,0.1190062786972032,0.00552028268639,0.1458906605007783,0.1924195782139229,0.75124374751412,3.3219280804604123,14
4601,57,57,0,0.0,2,11.1866391139203,241.17001948405755,7134.77935653129,0.0608538428107439,0.063746988181626,0.201528423730559,0.9673602342953768,44
3140,259,259,0,0.0,2,0.0340183043450353,0.0620250195842099,1042.894784438925,0.0158778898665816,0.0047110925393187,0.0561447485096744,0.9999762925143542,41144
83733,54,54,0,0.0,4,-0.2827552485487223,20.28843775610566,454.0465488919105,0.0535940094961977,0.0311422325359478,0.1325148465585124,1.5994704059744091,41168
48842,14,14,0,0.0094546847853428,2,2.1021045681646853,14.699411382325396,800564685.2171932,0.0663174698324424,0.0530857301713075,0.1156378623887415,0.7938438364790357,1590
699,9,9,0,0.0025433158480368,2,1.47748866673108,1.6841150960407207,7.846429530897199,0.6016522235864503,0.3515775562244208,0.4734886038135737,0.929317934364408,15
5500,40,40,0,0.0,11,0.2853136376495305,1.198135057826038,0.0573896456583455,0.7428268123111564,0.8150090015053527,1.1285743656342269,3.459431602767652,40499
4839,5,5,0,0.0,2,3.373429317253384,48.00791872627612,6532.042186775222,0.2376902952278672,0.0153234374475911,0.0250002970720824,0.3028903143134436,40983
20000,16,16,0,0.0,26,0.2902970341018099,0.6977379005298194,5.344023546021051,0.1828959228488913,0.350820297222238,0.6225350579009166,4.699810689063089,6
625,4,4,0,0.0,3,0.0,-1.300798439249973,2.003205128205128,4.69313476969546e-16,0.087329882011448,0.1048356578558959,1.3181162421134969,11
990,12,12,0,0.0,11,0.0870821841078832,-0.5925952782894427,2.016060287440321,0.2158763836927262,0.2801912860411962,0.7798723272412769,3.459431602767652,307
5620,64,64,0,0.0,10,5.280836107520172,163.28656088540754,18.81369800483901,0.1205833662895432,0.2136399073270317,0.4421530016201811,3.321832710439815,28
10992,16,16,0,0.0,10,-0.0391960821203112,-0.5010429355334174,929.6726760355244,0.2711952124870168,0.5058323664124513,0.8249163811393916,3.320771724463645,32
2000,47,47,0,0.0,10,0.7908300744521214,0.7353956766947827,2910.438616261591,0.2577673469730893,0.2588921924819468,0.5415571277680766,3.3219280804604123,22
148,18,18,0,0.0,4,0.7558813322376006,2.4785801409181705,0.7563558456415599,0.1760885571498558,0.0928802393727156,0.2633518148700913,1.2276774961758004,10
1458,37,37,0,0.0,2,6.450282247792617,105.0871488747045,106280596.42179152,0.3509771131371365,0.0388982769060821,0.1366216641343842,0.5353247187475536,1049
45312,8,8,0,0.0,2,11.040700111500184,900.3681099932897,0.5330007514362443,0.1686696491703863,0.0697799567588595,0.208683695994073,0.9835093877203194,151
958,9,9,0,0.0,2,-0.3530201230322698,-1.27736889540603,0.6120354554592551,0.0732776011095646,0.0164052693331641,0.0526393626476673,0.930953983365406,50
12960,8,8,0,0.0,5,0.0,-1.5026167233788832,0.927154873061193,3.7888029483049016e-16,0.1128879432957762,0.6639394812605761,1.716495892970323,26
2000,216,216,0,0.0,10,0.0275605169037823,-0.3151882007048306,4581.543057130418,0.2496260700066089,0.4312167897027854,0.927658658951068,3.3219280804604123,12
65196,27,27,0,0.0,100,-0.7740894585189123,39.465003685790926,412.1438069747543,0.2113396058671099,0.2268495750201239,0.3934283290155953,5.9776681681729285,41169
690,14,14,0,0.0,2,0.1369312767361575,-0.0349009352308472,1490.0635239657795,0.1373675640661053,0.0699204164192689,0.2708446048079793,0.9912308960179622,40981
